Name,Website URL,Application URL,Category,Status,Location,Synopsis
Models 1,https://www.models1.co.uk/,https://www.models1.co.uk/apply/,High Fashion & Editorial,active,"London, UK","Europe's leading model agency based in London, representing top international talent across women's, men's, and talent boards."
Elite London,https://www.elitemodel.co.uk/,https://www.elitemodelmanagement.com/london/get-scouted.web,High Fashion & Editorial,active,"London, UK","Part of the prestigious global Elite network, representing legendary supermodels and emerging high-fashion talent."
IMG Models London,https://www.imgmodels.com/,https://getscouted.imgmodels.com/,High Fashion,active,"London, UK","A world leader in talent discovery and model management, representing some of the fashion industry's most recognizable faces."
Storm Model Management,https://www.stormmanagement.com/,https://www.stormmanagement.com/apply-step-1/,High Fashion & Editorial,active,"London, UK","A legendary agency famous for discovering icons like Kate Moss, specializing in high fashion, talent, and creative management."
Wilhelmina Models London,https://www.wilhelmina.com/london/,https://www.wilhelmina.com/become-a-model,Commercial & Lifestyle,active,"London, UK","One of the world's most recognized model management companies, representing a diverse range of models and celebrities."
Premier Model Management,https://www.premiermodelmanagement.com/,https://www.premiermodelmanagement.com/become-a-model/,High Fashion & Editorial,active,"London, UK",An iconic London agency known for its historical impact on the industry and its high-profile roster of fashion models.
Base Model & Influencer Agency,https://www.basemodels.co.uk/,https://www.basemodels.co.uk/become/,"Micro, Boutique & Promotional",active,"London, UK","A leading commercial agency representing a diverse range of models, influencers, and actors for lifestyle campaigns."
Sandra Reynolds Model Agency,https://www.sandrareynolds.co.uk/,https://www.sandrareynolds.co.uk/join-our-agency,Commercial & Niche Specialist,active,"London, UK","A highly respected agency with a 50-year history, representing commercial models, actors, and real talent across the UK."
MiLK Management,https://www.milkmanagement.co.uk/,https://www.milkmanagement.co.uk/be-scouted/,Commercial & Lifestyle,active,"London, UK","A forward-thinking agency focused on diversity and inclusion within the fashion, broadcast, and digital talent sectors."
Nevs Models,https://www.nevsmodels.co.uk/,https://www.nevsmodels.co.uk/apply,Commercial & Niche Specialist,active,"London, UK",A long-established boutique agency in London providing personalized management for fashion and commercial models.
First Model Management,https://www.firstmodelmanagement.co.uk/,https://www.firstmodelmanagement.co.uk/become-a-model,Commercial & Niche Specialist,active,"London, UK","Focuses on the long-term career development of its talent, representing a wide spectrum of models for global campaigns."
BMA Models,https://www.bmamodels.com/,https://bmamodels.com/apply-to-join/,Commercial & Niche Specialist,active,"London, UK","A major player in the commercial sector, representing models, actors, and specialized talent for top brands."
Nemesis Models,https://www.nemesismodels.com/,https://www.nemesismodels.com/join,Regional (North & Scotland),active,"Manchester, UK","Manchester's premier agency representing a wide range of talent including new faces, classics, and digital influencers."
Boss Model Management,https://www.bossmodelmanagement.co.uk/,https://www.bossmodelmanagement.co.uk/become-a-model/,High Fashion & Editorial,active,"Manchester, UK","A prominent Manchester-based agency with a global reach, representing top-tier models and providing casting services."
Industry Model Management,https://www.industrymodels.co.uk/,https://www.industrymodels.co.uk/become-a-model/,Regional (North & Scotland),active,"Manchester, UK","Operating in Manchester and Leeds, this agency represents premium fashion talent and creatives across the North."
J'adore Models,https://www.jadoremodels.co.uk/,https://www.jadoremodels.co.uk/apply,Regional (North & Scotland),active,"Manchester, UK","A boutique agency focusing on fresh faces and high-end fashion, known for its creative approach to talent management."
Grace and Galor,https://www.graceandgalor.com/,https://www.graceandgalor.com/join-us/,Commercial & Lifestyle,active,"London, UK","Specialists in babies, children, and teenagers, Grace and Galor is a leader in the UK child modeling market."
Bonnie & Betty,https://www.bonnieandbetty.com/,https://www.bonnieandbetty.com/apply,Regional (North & Scotland),active,"London, UK","A top-tier child model and talent agency representing diverse talent for film, TV, and photographic work."
Scallywags,https://www.scallywags.co.uk/,https://www.scallywags.co.uk/apply,Commercial & Lifestyle,active,"London, UK","One of London's longest-established child agencies, known for its professional and supportive approach to young talent."
Source Models,https://www.sourcemodels.co.uk/,https://www.sourcemodels.co.uk/apply,Commercial & Lifestyle,active,"London, UK",A top commercial agency specializing in lifestyle modeling and fitness talent for major national campaigns.
Select Model Management,https://www.selectmodel.com/london,https://www.selectmodel.com/become-a-model,High Fashion & Editorial,active,"London, UK","A global powerhouse in model management, Select is known for discovering many of the industry's most successful models."
IMG Models London,https://getscouted.imgmodels.com,https://getscouted.imgmodels.com/,High Fashion & Editorial,active,UK,High Fashion & Editorial agency based in the UK.
The Squad Management,https://www.thesquadmanagement.com,https://www.thesquadmanagement.com/join,High Fashion & Editorial,active,UK,High Fashion & Editorial agency based in the UK.
TESS Management,https://www.tessmanagement.com,https://www.tessmanagement.com/contact/,High Fashion & Editorial,active,UK,High Fashion & Editorial agency based in the UK.
Linden Staub,https://www.lindenstaub.com,https://www.lindenstaub.com/apply,High Fashion & Editorial,active,UK,High Fashion & Editorial agency based in the UK.
PRM Agency,https://www.prm-agency.com,https://www.prm-agency.com/become-a-model,High Fashion & Editorial,active,UK,High Fashion & Editorial agency based in the UK.
Body London,https://www.bodylondon.com,https://www.bodylondon.com/join-us,"Micro, Boutique & Promotional",active,UK,High Fashion & Editorial agency based in the UK.
Bridge Models,https://www.bridgemodels.co.uk,https://www.bridgemodels.co.uk/apply,High Fashion & Editorial,active,UK,High Fashion & Editorial agency based in the UK.
Grey Model Agency,https://greymodelagency.com,https://greymodelagency.com/apply,High Fashion & Editorial,active,UK,High Fashion & Editorial agency based in the UK.
IMM Models,https://www.immmodels.com,https://www.immmodels.com/become-a-model,Commercial & Niche Specialist,active,UK,High Fashion & Editorial agency based in the UK.
Kult London,https://www.kultlondon.uk,https://www.kultlondon.uk/become-a-model,High Fashion & Editorial,active,UK,High Fashion & Editorial agency based in the UK.
Profile Models,https://www.profile-models.com,https://www.profile-models.com/apply,High Fashion & Editorial,active,UK,High Fashion & Editorial agency based in the UK.
Established Models,https://www.establishedmodels.com,https://www.establishedmodels.com/become-a-model,High Fashion & Editorial,active,UK,High Fashion & Editorial agency based in the UK.
Zebedee Management,https://www.zebedeemanagement.co.uk,https://www.zebedeemanagement.co.uk/apply,High Fashion & Editorial,active,UK,High Fashion & Editorial agency based in the UK.
Ugly Models,https://www.ugly.org,https://www.ugly.org/wanabee,Commercial & Niche Specialist,active,UK,High Fashion & Editorial agency based in the UK.
W Model Management,https://www.wmgmt.co.uk,https://www.wmgmt.co.uk/apply,Commercial & Lifestyle,active,UK,Commercial & Lifestyle agency based in the UK.
Forte Model Management,https://www.fortemodelmanagement.com,https://www.fortemodelmanagement.com/apply,Commercial & Lifestyle,active,UK,Commercial & Lifestyle agency based in the UK.
Vision Models London,https://www.vision-models.com,https://www.vision-models.com/join-us,Commercial & Lifestyle,active,UK,Commercial & Lifestyle agency based in the UK.
Brother Models,https://www.brothermodels.com,https://www.brothermodels.com/contact,Commercial & Lifestyle,active,UK,Commercial & Lifestyle agency based in the UK.
Present Model Management,https://www.presentmodelmanagement.com,https://www.presentmodelmanagement.com/be-discovered,Commercial & Lifestyle,active,UK,Commercial & Lifestyle agency based in the UK.
Fresh Agents,https://www.freshagents.co.uk,https://www.freshagents.co.uk/apply,Commercial & Niche Specialist,active,UK,Commercial & Lifestyle agency based in the UK.
Bame Models,https://www.bamemodels.com,https://www.bamemodels.com/apply,Commercial & Lifestyle,active,UK,Commercial & Lifestyle agency based in the UK.
